Name,Mid-2008 Population,Inflow 2008,Outflow 2008,Net Migration Rate 2008,Mid-2009 Population,Inflow 2009,Outflow 2009,Net Migration Rate 2009,Mid-2010 Population,Inflow 2010,Outflow 2010,Net Migration Rate 2010,Mid-2011 Population,Inflow 2011,Outflow 2011,Net Migration Rate 2011,Mid-2012 Population,Inflow 2012,Outflow 2012,Net Migration Rate 2012 ,Mid-2013 Population,Inflow 2013,Outflow 2013,Net Migration Rate 2013,Mid-2014 Population,Inflow 2014,Outflow 2014,Net Migration Rate 2014,Mid-2015 Population,Inflow 2015,Outflow 2015,Net Migration Rate 2015,Mid-2016 Population,Inflow 2016,Outflow 2016,Net Migration Rate 2016,,Mid-2017 Population,Net Migration Rate 2017,Inflow 2017,Outflow 2017
"Armagh City, Banbridge and Craigavon","193,603","2,259","1,047",6,"196,203","1,728",979,4,"198,202","1,577",912,3,"200,298","1,604",989,3,"202,398","1,635",945,3,"203,757","1,505",950,3,"205,711","1,680",810,4,"183,933","1,899",813,6,"210,260","1,856",907,5,,"211,898",3,"1,442",737
Belfast,"330,052","4,747","3,949",2,"331,763","4,259","3,494",2,"333,489","4,373","4,024",1,"333,895","4,082","5,428",-4,"333,962","4,107","4,606",-1,"335,133","4,544","5,608",-3,"336,830","4,710","4,330",1,"325,483","4,490","3,868",2,"339,579","4,253","4,833",-2,,"340,220",-2,"4,254","4,813"
Causeway Coast and Glens,"139,004","1,021",800,2,"139,616",647,820,-1,"140,107",762,957,-1,"140,907",738,805,0,"141,434",682,753,-1,"141,699",639,775,-1,"142,303",632,678,0,"136,340",640,708,0,"143,525",650,907,-2,,"143,920",-1,510,678
Derry City and Strabane,"147,496",903,870,0,"148,053",777,948,-1,"148,148",797,"1,161",-2,"148,191",672,"1,134",-3,"148,619",737,"1,048",-2,"148,632",643,979,-2,"149,198",683,885,-1,"145,447",569,792,-2,"150,142",618,693,0,,"150,497",-1,468,655
Fermanagh and Omagh,"111,494","1,224",654,5,"111,998",959,696,2,"112,919",872,508,3,"113,501",738,603,1,"114,230",734,802,-1,"114,365",711,724,0,"114,992",745,549,2,"108,586",696,649,0,"115,799",688,564,1,,"116,289",1,565,452
Lisburn and Castlereagh,"130,584",866,552,2,"132,386",664,520,1,"133,909",670,643,0,"135,280",647,703,0,"136,311",551,582,0,"136,808",503,554,0,"138,627",476,463,0,"127,043",460,454,0,"141,181",454,687,-2,,"142,640",0,458,436
Mid and East Antrim,"134,169","1,131",576,4,"134,774",866,573,2,"135,157",661,529,1,"135,365",709,621,1,"135,838",607,500,1,"135,997",651,467,1,"136,642",768,479,2,"137,145",882,535,3,"137,821",948,396,4,,"138,152",0,610,669
Mid Ulster,"133,595","2,310",974,10,"135,408","1,517",935,4,"137,221","1,508",852,5,"139,011","1,597","1,151",3,"140,357","1,426",927,4,"141,329","1,384","1,086",2,"142,895","1,317",670,5,"144,002","1,398",769,4,"145,389","1,200",592,4,,"146,427",2,951,691
"Newry, Mourne and Down","168,019","1,758",757,6,"169,652","1,307",812,3,"171,119","1,170",784,2,"172,276","1,154",853,2,"173,691","1,058",888,1,"174,829",991,851,1,"175,403","1,143",796,2,"176,369","1,060",632,2,"177,816","1,178",780,2,,"178,996",3,"1,020",529
Ards and North Down,"155,014",785,775,0,"156,058",655,628,0,"156,518",662,587,0,"156,943",556,680,-1,"157,637",643,607,0,"157,640",548,691,-1,"157,931",468,599,-1,"152,233",437,529,-1,"159,593",501,455,0,,"160,098",0,475,404
Clackmannanshire,"51,190",189,201,0,"51,290",178,145,1,"51,330",150,149,0,"51,500",104,98,0,"51,280",116,165,-1,"51,280",74,108,-1,"51,190",128,154,-1,"51,360",98,102,0,"51,350",157,94,1,," 51,450 ",1, 173 , 134 
Dumfries and Galloway,"151,010",524,699,-1,"151,160",388,559,-1,"151,100",375,537,-1,"151,410",358,343,0,"150,840",244,524,-2,"150,280",200,535,-2,"149,960",212,479,-2,"149,670",281,353,0,"149,520",340,328,0,," 149,200 ",-1, 239 , 356 
East Ayrshire,"121,590",222,315,-1,"122,110",118,258,-1,"122,410",150,247,-1,"122,690",116,182,-1,"122,730",113,246,-1,"122,430",78,239,-1,"122,130",94,268,-1,"122,060",90,181,-1,"122,200",114,152,0,," 121,940 ",-1, 106 , 194 
East Lothian,"97,470",548,295,3,"98,340",449,233,2,"99,140",426,281,1,"99,920",428,262,2,"100,860",407,291,1,"101,390",252,304,-1,"102,090",341,310,0,"103,050",412,255,2,"104,090",455,166,3,," 104,840 ",1, 345 , 244 
East Renfrewshire,"89,870",137,236,-1,"89,980",155,174,0,"90,410",193,155,0,"90,810",134,161,0,"91,040",76,234,-2,"91,530",88,196,-1,"92,410",125,178,-1,"92,940",127,210,-1,"93,810",179,128,1,," 94,760 ",0, 128 , 136 
Na h-Eileanan Siar (Western Isles),"27,280",78,105,-1,"27,420",76,89,0,"27,600",69,74,0,"27,690",60,57,0,"27,560",44,81,-1,"27,400",28,87,-2,"27,250",32,80,-2,"27,070",55,53,0,"26,900",72,53,1,," 26,950 ",0, 64 , 53 
Falkirk,"153,290",564,455,1,"154,210",505,381,1,"155,140",456,298,1,"156,250",502,224,2,"156,800",312,341,0,"157,160",235,363,-1,"157,690",327,312,0,"158,460",377,250,1,"159,380",383,228,1,," 160,130 ",1, 379 , 278 
Highland,"226,980","1,559","1,247",1,"228,750","1,292","1,107",1,"230,730","1,309",951,2,"232,730","1,023",599,2,"232,890",761,936,-1,"232,930",619,862,-1,"233,080",719,807,0,"234,110",918,589,1,"234,770",920,571,1,," 235,180 ",0, 730 , 642 
Inverclyde,"82,000",187,239,-1,"81,670",179,184,0,"81,510",200,175,0,"81,220",99,124,0,"80,690",77,176,-1,"80,340",71,128,-1,"79,890",70,133,-1,"79,500",100,86,0,"79,160",131,92,0,," 78,760 ",0, 100 , 96 
Midlothian,"81,540",198,191,0,"81,900",180,159,0,"82,360",207,167,0,"83,450",179,106,1,"84,240",174,150,0,"84,710",88,133,-1,"86,220",149,189,0,"87,390",171,191,0,"88,610",207,122,1,," 90,090 ",0, 159 , 114 
Moray,"92,830",500,509,0,"93,170",388,346,0,"93,690",451,401,1,"93,470",407,502,-1,"92,930",315,414,-1,"94,360",227,373,-2,"94,770",282,324,0,"95,510",332,454,-1,"96,070",321,241,1,," 95,780 ",-1, 200 , 304 
North Ayrshire,"137,910",261,407,-1,"137,830",226,314,-1,"137,790",235,326,-1,"138,090",222,190,0,"137,570",149,376,-2,"136,940",110,348,-2,"136,480",136,304,-1,"136,130",158,200,0,"135,890",184,224,0,," 135,790 ",0, 182 , 231 
Orkney Islands,"20,740",48,74,-1,"20,940",47,62,-1,"21,220",63,60,0,"21,420",66,43,1,"21,530",38,71,-2,"21,560",49,77,-1,"21,580",52,68,-1,"21,670",53,50,0,"21,850",52,49,0,," 22,000 ",0, 48 , 40 
