Name,Mid-2008 Population,Inflow 2008,Outflow 2008,Net Migration Rate 2008,Mid-2009 Population,Inflow 2009,Outflow 2009,Net Migration Rate 2009,Mid-2010 Population,Inflow 2010,Outflow 2010,Net Migration Rate 2010,Mid-2011 Population,Inflow 2011,Outflow 2011,Net Migration Rate 2011,Mid-2012 Population,Inflow 2012,Outflow 2012,Net Migration Rate 2012 ,Mid-2013 Population,Inflow 2013,Outflow 2013,Net Migration Rate 2013,Mid-2014 Population,Inflow 2014,Outflow 2014,Net Migration Rate 2014,Mid-2015 Population,Inflow 2015,Outflow 2015,Net Migration Rate 2015,Mid-2016 Population,Inflow 2016,Outflow 2016,Net Migration Rate 2016,,Mid-2017 Population,Net Migration Rate 2017,Inflow 2017,Outflow 2017
Wokingham,"153,191","1,233",631,4,"154,165","1,227",666,4,"154,650","1,178",483,4,"154,943","1,047",644,3,"156,658",853,763,1,"158,065",895,663,1,"159,414","1,202",623,4,"161,200","1,444",748,4,"163,087","1,572",673,6,,"164,980",3,"1,222",730
Milton Keynes,"235,625","2,726","1,805",4,"240,178","2,250","1,742",2,"245,450","1,730","1,094",3,"249,895","1,918","1,592",1,"252,773","1,495","1,355",1,"256,376","1,564","1,551",0,"260,225","2,215","1,201",4,"263,181","2,660","1,551",4,"266,240","2,854","1,279",6,,"267,521",3,"2,440","1,518"
Brighton and Hove,"262,019","4,494","3,108",5,"265,584","4,312","3,202",4,"269,495","4,233","2,239",7,"272,952","5,463","3,940",6,"275,724","5,851","3,257",9,"277,991","5,583","2,955",9,"280,650","6,019","2,681",12,"284,073","6,220","2,820",12,"287,173","5,806","2,865",10,,"288,155",7,"5,309","3,405"
Portsmouth,"196,036","2,230","1,464",4,"198,983","2,825","1,666",6,"202,700","3,068","1,223",9,"205,433","2,810","1,580",6,"206,517","2,381","1,555",4,"206,670","2,431","1,583",4,"208,037","2,801","1,425",7,"210,538","3,130","1,472",8,"213,335","3,021","1,406",8,,"214,718",5,"2,635","1,637"
Southampton,"228,447","4,861","3,506",6,"230,017","4,954","3,563",6,"233,085","5,075","2,351",12,"235,870","4,923","2,816",9,"238,519","3,957","2,648",5,"239,858","4,526","2,643",8,"242,106","5,299","2,340",12,"246,054","5,892","2,655",13,"250,377","5,836","2,685",13,,"252,359",7,"4,957","3,103"
Isle of Wight,"138,675",514,792,-2,"138,361",528,750,-2,"138,364",395,563,-1,"138,392",470,510,0,"138,826",354,368,0,"138,555",351,297,0,"139,332",373,197,1,"139,763",395,235,1,"140,264",409,182,2,,"140,984",1,370,180
County Durham,"505,617","2,322","1,414",2,"507,311","1,992","1,049",2,"510,628","2,047",886,2,"512,994","2,323","1,253",2,"514,261","1,856","1,129",1,"515,923","1,862",786,2,"517,573","2,198","1,424",1,"519,347","2,281","1,373",2,"521,776","2,168",937,2,,"523,662",2,"2,352","1,415"
Cheshire East,"367,160","1,876","1,436",1,"368,023","1,236","1,175",0,"369,051",965,"1,121",0,"370,736","1,438","1,199",1,"372,383","1,191",985,1,"373,006","1,295","1,292",0,"374,606","1,415","1,475",0,"375,722","1,637","1,484",0,"377,303","1,749","1,434",1,,"378,846",0,"1,515","1,652"
Cheshire West and Chester,"329,353","1,654","2,399",-2,"329,116","1,202","1,728",-2,"329,553","1,150","1,534",-1,"329,526","1,301","1,560",-1,"330,224",971,986,0,"331,069","1,192","1,198",0,"332,272","1,475","1,257",1,"333,949","1,496","1,231",1,"335,724","1,370","1,049",1,,"337,986",0,"1,402","1,473"
Shropshire,"300,473",961,633,1,"302,069","1,106",936,1,"304,523",943,808,0,"307,108","1,015",785,1,"308,416",856,627,1,"309,085",789,762,0,"310,774",984,757,1,"312,227","1,092",781,1,"314,392","1,126",644,2,,"317,459",1,979,559
Cornwall,"524,973","2,414","2,604",0,"526,365","2,034","2,431",-1,"529,794","1,976","1,331",1,"533,760","2,211","1,441",1,"538,249","1,740","1,047",1,"541,738","1,914","1,452",1,"545,961","2,049","1,474",1,"550,283","2,174","1,671",1,"555,057","2,179","1,721",1,,"561,349",0,"1,984","1,853"
Isles of Scilly,"2,333",47,69,-9,"2,251",19,58,-17,"2,228",20,71,-23,"2,224",9,23,-6,"2,279",36,19,7,"2,261",11,24,-6,"2,292",16,24,-3,"2,335",24,21,1,"2,331",26,19,3,,"2,259",0,20,21
Wiltshire,"464,007","2,386","1,509",2,"466,711","2,015","2,183",0,"470,199","1,675","1,614",0,"474,319","1,810","1,680",0,"476,914","1,708","1,475",0,"479,911","1,821","1,707",0,"484,560","2,028","1,611",1,"488,487","2,115","1,734",1,"492,240","2,342","1,811",1,,"496,043",0,"1,956","1,819"
Bedford,"154,164","1,735",950,5,"154,808","1,797","1,115",4,"156,535","1,705",934,5,"157,840","1,347","1,014",2,"159,369","1,079",908,1,"161,553","1,115",747,2,"163,999","1,419",744,4,"166,376","1,651",753,5,"168,814","1,816","1,181",4,,"169,912",2,"1,465","1,127"
Central Bedfordshire,"249,035","1,549",975,2,"250,329","1,766","1,049",3,"252,460","1,982",732,5,"255,644","2,150",772,5,"259,591","1,496",938,2,"263,793","1,601",927,3,"267,846","1,718",815,3,"272,421","1,983",847,4,"276,731","1,765","1,192",2,,"280,030",2,"1,657","1,165"
Northumberland,"314,057",616,604,0,"314,489",568,449,0,"315,463",480,445,0,"316,278",696,607,0,"316,489",459,479,0,"316,389",437,391,0,"316,832",568,583,0,"316,453",463,309,0,"317,444",452,220,1,,"319,030",0,540,405
Aylesbury Vale,"170,659","1,544","1,282",2,"171,418","1,528","1,392",1,"172,892","1,792",891,5,"174,880","1,957","1,198",4,"177,600","1,407",832,3,"180,875","1,370",690,4,"184,245","1,561",559,5,"188,312","1,825",685,6,"192,680","1,822",662,6,,"196,020",4,"1,569",766
Chiltern,"92,471",480,517,0,"92,526",425,494,-1,"92,915",307,330,0,"92,652",379,593,-2,"92,980",317,441,-1,"93,368",306,383,-1,"94,074",386,293,1,"94,662",428,311,1,"95,204",430,258,2,,"95,355",1,380,279
South Bucks,"65,443",456,399,1,"66,018",393,478,-1,"66,705",364,452,-1,"67,060",415,449,-1,"67,486",342,444,-2,"68,128",321,364,-1,"68,704",399,319,1,"69,307",422,330,1,"69,809",443,306,2,,"69,785",2,389,266
Wycombe,"167,798","1,255",997,2,"168,851","1,062","1,088",0,"170,308",896,"1,005",-1,"171,958","1,059","1,164",-1,"172,917",828,"1,340",-3,"173,162",826,"1,166",-2,"173,877","1,060","1,043",0,"174,833","1,291","1,158",1,"175,363","1,352","1,098",1,,"174,758",0,"1,144","1,148"
Cambridge,"116,183","3,807","3,879",-1,"116,746","4,621","5,343",-6,"120,219","5,306","2,963",19,"122,725","4,583","3,418",9,"122,601","4,749","5,260",-4,"123,024","3,986","3,340",5,"123,735","4,209","3,293",7,"125,105","4,455","2,978",12,"124,635","4,404","3,930",4,,"124,919",3,"4,019","3,593"
East Cambridgeshire,"81,035",836,343,6,"82,357","1,268",553,9,"83,303",915,291,7,"84,245",668,358,4,"85,220",592,443,2,"85,942",581,298,3,"87,045",656,249,5,"87,783",611,225,4,"88,189",625,380,3,,"88,858",3,589,366
Fenland,"93,653",876,307,6,"94,404","1,185",357,9,"95,135","1,060",237,9,"95,461",887,226,7,"95,975",949,449,5,"96,617",914,256,7,"97,591",803,190,6,"98,814",991,197,8,"99,636",924,301,6,,"100,776",4,844,396
Huntingdonshire,"166,346",906,525,2,"167,052",921,539,2,"168,352",866,444,3,"170,039",791,515,2,"171,206",639,715,0,"172,147",634,590,0,"173,883",800,463,2,"175,334",840,495,2,"176,095",828,651,1,,"176,979",0,753,776
South Cambridgeshire,"143,591",949,731,2,"145,679","1,124","1,019",1,"147,890","1,113",520,4,"149,842",912,441,3,"150,906",829,686,1,"151,188",732,651,1,"152,932",953,496,3,"154,488",967,460,3,"156,020",968,684,2,,"156,705",1,875,734
Allerdale,"96,186",197,213,0,"96,377",303,194,1,"96,301",118,168,-1,"96,444",263,205,1,"96,269",182,137,0,"96,269",158,120,0,"96,532",185,164,0,"96,756",218,126,1,"97,099",218,112,1,,"97,213",0,187,181
Barrow-in-Furness,"69,844",88,119,0,"69,776",137,105,0,"69,429",104,98,0,"69,056",188,129,1,"68,471",90,95,0,"67,936",90,79,0,"67,769",111,94,0,"67,676",118,62,1,"67,532",126,72,1,,"67,099",0,106,81
Carlisle,"107,178",524,469,1,"106,966",394,285,1,"106,985",306,192,1,"107,475",353,271,1,"107,925",305,353,0,"107,992",299,275,0,"108,059",333,410,-1,"108,109",362,416,0,"108,388",374,368,0,,"108,274",-1,343,497
Copeland,"70,789",107,92,0,"70,662",140,74,1,"70,629",80,59,0,"70,627",162,77,1,"70,309",95,116,0,"70,052",87,106,0,"69,866",92,96,0,"69,688",95,76,0,"69,306",73,56,0,,"68,689",0,74,76
Eden,"52,427",283,252,1,"52,595",199,164,1,"52,678",146,146,0,"52,502",158,148,0,"52,687",160,115,1,"52,657",143,146,0,"52,649",164,185,0,"52,576",194,158,1,"52,642",194,149,1,,"52,779",0,185,173
South Lakeland,"104,492",717,549,2,"104,410",625,416,2,"104,143",425,491,-1,"103,713",459,443,0,"103,544",504,353,1,"103,593",476,402,1,"103,501",493,409,1,"103,776",593,400,2,"103,826",607,369,2,,"104,321",0,499,521
Amber Valley,"121,170",187,146,0,"121,532",171,142,0,"122,081",116,134,0,"122,521",203,172,0,"122,798",159,130,0,"123,592",173,135,0,"124,050",189,107,1,"124,188",185,115,1,"124,802",178,109,1,,"125,898",0,171,110
Bolsover,"75,058",158,51,1,"75,224",145,48,1,"75,691",104,43,1,"76,029",198,65,2,"76,480",173,75,1,"76,774",273,61,3,"77,231",251,43,3,"77,917",348,65,4,"78,225",339,102,3,,"79,098",3,305,99
Chesterfield,"102,609",244,172,1,"103,037",184,120,1,"103,417",141,88,1,"103,788",214,132,1,"103,788",146,124,0,"104,066",146,102,0,"104,331",199,73,1,"104,463",215,100,1,"104,527",227,83,1,,"104,579",1,217,72
Derbyshire Dales,"70,450",215,174,1,"70,705",161,125,1,"71,030",139,160,0,"71,104",160,195,0,"71,386",149,124,0,"71,372",135,121,0,"71,420",149,64,1,"71,301",143,66,1,"71,477",141,77,1,,"71,849",1,146,72
Erewash,"110,809",238,207,0,"111,283",175,170,0,"111,739",153,194,0,"112,249",222,213,0,"112,833",156,183,0,"113,246",141,156,0,"114,155",205,115,1,"114,684",205,106,1,"115,112",188,157,0,,"115,314",0,170,133
High Peak,"90,858",260,188,1,"91,047",223,175,1,"91,063",185,162,0,"90,982",237,270,0,"91,160",173,128,0,"91,172",168,160,0,"91,417",182,103,1,"91,523",191,133,1,"91,720",197,113,1,,"92,063",1,188,121
North East Derbyshire,"98,261",128,116,0,"98,474",122,72,1,"98,832",97,44,1,"99,100",166,86,1,"99,347",122,66,1,"99,306",119,91,0,"99,383",140,43,1,"99,661",137,59,1,"100,450",131,59,1,,"100,780",1,123,64
South Derbyshire,"92,023",217,229,0,"93,015",171,189,0,"94,095",153,162,0,"94,915",209,214,0,"95,934",152,174,0,"97,111",150,124,0,"98,395",169,108,1,"99,345",173,96,1,"100,421",209,122,1,,"102,385",1,188,127
East Devon,"132,594",451,461,0,"132,378",397,489,-1,"132,666",376,336,0,"133,272",423,243,1,"134,430",383,206,1,"135,046",334,221,1,"136,518",397,268,1,"138,380",413,186,2,"140,271",428,294,1,,"142,265",1,397,251
Exeter,"114,167","1,490","1,946",-4,"114,419","1,863","1,979",-1,"115,712","2,176","1,269",8,"117,063","2,666","1,434",11,"119,040","2,037","1,002",9,"121,030","2,333",996,11,"123,018","2,387","1,206",10,"125,679","2,538","1,035",12,"127,522","2,507","1,625",7,,"128,916",5,"2,163","1,536"
Mid Devon,"76,406",279,400,-2,"76,981",268,453,-2,"77,391",242,277,0,"77,936",318,206,1,"78,382",240,133,1,"78,706",246,161,1,"79,272",293,134,2,"79,582",294,168,2,"79,880",275,183,1,,"80,623",1,252,176
North Devon,"92,775",306,475,-2,"93,046",322,466,-2,"93,293",344,248,1,"93,976",302,228,1,"93,845",241,162,1,"93,839",236,160,1,"94,027",275,189,1,"94,162",297,159,1,"94,643",273,183,1,,"95,440",1,249,168
South Hams,"83,516",326,382,-1,"83,368",300,473,-2,"83,516",271,328,-1,"83,563",284,241,1,"83,703",288,159,2,"84,112",270,165,1,"84,435",318,186,2,"84,886",304,174,2,"84,834",291,187,1,,"85,340",1,292,180
Teignbridge,"124,396",352,570,-2,"124,451",373,573,-2,"124,359",323,332,0,"124,271",377,223,1,"125,047",284,162,1,"126,088",282,178,1,"127,432",328,189,1,"128,903",338,188,1,"129,917",333,224,1,,"131,437",1,305,171
Torridge,"63,501",138,183,-1,"63,477",124,139,0,"63,686",114,88,0,"63,973",157,82,1,"64,769",164,74,1,"65,127",153,91,1,"65,657",176,82,1,"66,312",210,114,1,"67,022",165,92,1,,"67,821",1,166,82
West Devon,"52,566",176,189,0,"52,868",159,186,-1,"53,285",136,148,0,"53,655",163,125,1,"53,886",166,92,1,"53,982",138,98,1,"54,343",186,83,2,"54,502",188,73,2,"54,742",202,113,2,,"55,329",2,195,109
Christchurch,"46,959",131,160,-1,"47,277",141,175,-1,"47,698",116,90,1,"47,916",129,91,1,"47,999",126,149,0,"48,470",114,97,0,"49,013",137,106,1,"49,211",148,85,1,"49,645",146,102,1,,"49,616",1,129,84
East Dorset,"87,244",186,213,0,"87,010",215,262,-1,"87,165",152,126,0,"87,301",175,104,1,"87,729",192,146,1,"87,949",186,115,1,"88,204",227,144,1,"88,711",214,105,1,"89,080",204,146,1,,"89,384",1,193,134
North Dorset,"68,098",288,768,-7,"67,798",262,871,-9,"67,922",214,597,-6,"69,002",272,223,1,"69,352",285,210,1,"69,890",252,196,1,"69,978",312,221,1,"70,607",331,201,2,"70,915",302,157,2,,"71,096",2,278,148
Purbeck,"45,234",241,308,-1,"45,087",191,323,-3,"45,165",137,190,-1,"45,184",136,147,0,"45,307",111,91,0,"45,441",117,99,0,"45,703",157,94,1,"46,228",160,98,1,"46,341",144,79,1,,"46,756",1,142,98
West Dorset,"98,472",349,597,-3,"98,626",343,643,-3,"99,033",281,349,-1,"99,275",330,341,0,"99,530",388,269,1,"100,096",304,244,1,"100,549",363,248,1,"100,873",387,184,2,"101,505",380,252,1,,"102,064",1,339,201
Weymouth and Portland,"65,037",228,422,-3,"65,046",186,505,-5,"65,032",133,191,-1,"65,135",225,222,0,"65,048",164,163,0,"65,179",180,142,1,"65,051",208,148,1,"65,217",222,151,1,"65,447",205,104,2,,"65,751",1,204,112
Eastbourne,"98,361",789,"1,037",-3,"98,228",646,932,-3,"98,510",569,564,0,"99,308",686,752,-1,"99,901",632,630,0,"100,363",641,516,1,"101,340",701,435,3,"102,204",693,368,3,"103,003",804,338,5,,"103,251",3,673,383
Hastings,"88,722",501,606,-1,"89,293",420,607,-2,"89,623",374,353,0,"90,173",426,558,-1,"90,377",395,416,0,"90,906",416,349,1,"91,360",448,241,2,"91,937",500,230,3,"92,903",607,228,4,,"92,813",3,522,239
Lewes,"95,455",435,251,2,"96,114",390,221,2,"97,079",316,172,1,"97,584",420,230,2,"98,695",332,390,-1,"99,626",268,233,0,"100,428",325,200,1,"100,898",317,209,1,"101,631",353,174,2,,"102,257",1,329,198
Rother,"90,120",301,360,-1,"90,123",297,390,-1,"90,578",239,251,0,"90,729",306,272,0,"91,065",310,294,0,"91,232",240,166,1,"92,370",298,120,2,"93,192",311,171,2,"93,966",320,135,2,,"94,997",2,266,104
Wealden,"146,539",570,541,0,"146,612",534,502,0,"147,861",459,344,1,"149,415",520,385,1,"151,050",626,318,2,"152,777",447,284,1,"155,005",525,234,2,"156,790",561,251,2,"158,054",557,225,2,,"158,941",1,497,269
Basildon,"172,423",615,477,1,"173,084",589,672,0,"173,788",455,355,1,"174,971",545,471,0,"176,538",393,288,1,"178,498",401,283,1,"180,676",591,203,2,"181,951",656,210,2,"183,768",741,318,2,,"184,479",2,638,334
Braintree,"143,894",462,431,0,"144,589",434,478,0,"145,972",329,208,1,"147,514",418,314,1,"148,375",361,296,0,"149,150",348,248,1,"150,076",451,203,2,"150,530",494,219,2,"151,233",488,290,1,,"151,677",1,439,306
Brentwood,"71,941",315,254,1,"72,663",309,317,0,"73,301",225,131,1,"73,841",288,253,0,"74,142",236,228,0,"74,734",226,119,1,"75,914",302,169,2,"76,403",358,148,3,"76,769",336,206,2,,"76,575",2,309,185
Castle Point,"88,020",123,134,0,"88,122",129,193,-1,"88,115",98,74,0,"87,964",143,130,0,"88,219",110,72,0,"88,594",94,64,0,"88,912",143,47,1,"89,184",142,55,1,"89,752",161,75,1,,"89,814",1,130,50
Chelmsford,"165,047",791,627,1,"166,208",799,868,0,"167,441",815,526,2,"168,491",838,731,1,"169,379",851,544,2,"170,311",707,501,1,"171,590",825,449,2,"172,719","1,058",422,4,"174,197","1,012",610,2,,"176,194",1,885,643
Colchester,"167,927","1,939","1,494",3,"169,027","1,990","1,988",0,"171,679","2,488",834,10,"173,614","2,337","1,317",6,"176,185","1,790","1,134",4,"177,993","1,908","1,025",5,"180,973","1,938",994,5,"184,916","2,519",772,9,"187,633","2,350","1,180",6,,"190,098",5,"1,990","1,045"
Epping Forest,"123,365",475,477,0,"123,820",544,624,-1,"124,189",397,379,0,"124,880",527,367,1,"125,997",450,409,0,"126,989",396,317,1,"128,451",590,310,2,"129,274",645,278,3,"129,923",744,362,3,,"130,576",2,629,339
Harlow,"79,913",502,257,3,"80,710",488,329,2,"81,490",471,270,2,"82,177",614,271,4,"82,814",522,276,3,"83,438",562,317,3,"84,619",688,221,6,"85,335",641,180,5,"85,867",708,316,5,,"86,191",3,637,359
Maldon,"61,660",153,122,1,"61,815",148,115,1,"61,845",117,57,1,"61,720",151,109,1,"61,946",125,83,1,"62,217",113,70,1,"62,801",141,67,1,"62,824",154,43,2,"63,418",143,86,1,,"63,975",1,143,53
Rochford,"83,056",110,168,-1,"83,094",129,193,-1,"83,415",92,81,0,"83,333",150,129,0,"83,895",91,61,0,"83,955",92,73,0,"84,809",113,47,1,"85,192",120,40,1,"85,708",123,71,1,,"86,209",1,107,56
Tendring,"140,421",399,405,0,"139,593",357,433,-1,"139,058",336,178,1,"138,062",363,261,1,"138,395",278,226,0,"139,037",249,169,1,"140,395",327,131,1,"141,790",318,113,1,"143,353",322,127,1,,"144,705",1,301,115
Uttlesford,"75,505",354,212,2,"76,778",347,257,1,"78,620",245,100,2,"80,032",293,166,2,"81,199",250,276,0,"82,680",261,188,1,"84,066",315,137,2,"85,205",353,175,2,"86,289",361,225,2,,"87,684",1,323,194
Cheltenham,"112,971","1,260","1,360",-1,"113,967",982,759,2,"114,901","1,057",573,4,"115,645","1,175",612,5,"116,058","1,033",916,1,"115,788",816,899,-1,"116,379",999,"1,012",0,"116,592","1,007",899,1,"117,217","1,028",975,0,,"117,128",0,904,907
Cotswold,"83,016",578,740,-2,"82,765",460,485,0,"82,614",457,464,0,"83,180",433,302,2,"83,624",409,363,1,"84,266",399,346,1,"84,920",432,324,1,"85,548",502,350,2,"86,121",489,408,1,,"87,509",1,442,369
Forest of Dean,"82,099",260,314,-1,"81,994",227,154,1,"81,896",214,88,2,"82,200",227,93,2,"82,716",242,147,1,"82,953",194,127,1,"83,682",214,145,1,"84,576",242,143,1,"85,411",221,123,1,,"85,957",1,221,128
Gloucester,"118,394","1,101","1,302",-2,"119,348",765,749,0,"120,660",892,508,3,"121,921",713,445,2,"123,405",729,438,2,"124,535",676,361,3,"125,686",885,406,4,"127,169",919,452,4,"128,355",987,587,3,,"129,083",3,859,528
Stroud,"111,375",410,706,-3,"111,853",354,538,-2,"112,491",285,404,-1,"113,074",366,229,1,"113,407",323,185,1,"114,094",254,157,1,"115,274",325,222,1,"116,774",319,261,0,"117,472",307,256,0,,"118,130",1,305,236
Tewkesbury,"79,755",404,437,0,"80,553",351,287,1,"81,535",312,141,2,"82,269",359,124,3,"83,006",400,198,2,"84,323",350,160,2,"85,798",422,238,2,"86,868",407,216,2,"88,518",401,229,2,,"90,332",1,367,239
Basingstoke and Deane,"162,036","1,224",774,3,"164,135","1,011",748,2,"166,364",784,578,1,"168,550",876,759,1,"170,691",809,670,1,"172,050",749,748,0,"173,374",931,489,3,"174,340",955,595,2,"175,226",986,539,3,,"175,337",1,855,677
East Hampshire,"113,172",636,462,2,"114,261",631,496,1,"115,350",501,303,2,"116,010",476,383,1,"116,574",364,366,0,"117,401",366,348,0,"117,985",427,234,2,"118,694",459,248,2,"118,705",448,241,2,,"119,392",1,407,263
Eastleigh,"121,312",442,592,-1,"122,377",405,424,0,"124,240",403,262,1,"125,852",398,319,1,"126,759",274,259,0,"127,759",264,237,0,"128,867",338,209,1,"128,977",315,228,1,"129,546",350,248,1,,"130,498",0,307,281
Fareham,"110,205",341,248,1,"110,832",316,237,1,"111,382",291,174,1,"111,931",344,205,1,"112,888",274,188,1,"113,873",260,139,1,"114,663",312,161,1,"115,182",306,179,1,"115,818",324,179,1,,"116,219",1,295,191
Gosport,"81,730",214,197,0,"81,961",188,181,0,"82,307",158,132,0,"82,669",221,213,0,"83,272",185,183,0,"83,542",170,194,0,"84,346",195,125,1,"84,757",216,144,1,"85,492",222,119,1,,"85,509",1,191,113
Hart,"90,566",542,387,2,"90,986",532,340,2,"91,276",414,268,2,"91,662",407,289,1,"92,224",345,344,0,"92,959",313,297,0,"93,680",367,240,1,"94,395",419,226,2,"94,882",413,154,3,,"95,465",1,369,247
Havant,"119,039",244,295,0,"119,394",229,253,0,"120,105",216,157,0,"120,783",308,202,1,"121,285",222,217,0,"121,671",211,170,0,"122,345",267,136,1,"123,122",283,152,1,"123,891",293,140,1,,"125,065",1,252,152
New Forest,"174,548",867,619,1,"175,432",825,607,1,"176,323",893,362,3,"176,789",654,357,2,"177,480",585,338,1,"178,186",536,370,1,"179,014",620,293,2,"179,275",668,282,2,"179,529",622,269,2,,"179,590",2,589,289
Rushmoor,"92,589",970,"1,002",0,"92,572",745,"1,033",-3,"93,397",728,664,1,"94,354","1,003","1,054",-1,"94,806",656,546,1,"94,897",539,546,0,"95,228",617,384,2,"95,166",648,395,3,"96,091",762,404,4,,"95,817",3,633,362
Test Valley,"115,101",688,644,0,"115,251",657,645,0,"115,814",616,504,1,"116,698",460,501,0,"117,341",430,306,1,"118,805",436,397,0,"119,835",492,309,2,"121,352",504,348,1,"122,823",518,318,2,,"123,957",0,449,402
Winchester,"113,267",748,698,0,"114,505",752,705,0,"115,789",733,747,0,"116,820",881,848,0,"118,074",758,673,1,"119,037",711,574,1,"120,290",874,490,3,"121,734",770,620,1,"123,100",803,507,2,,"123,879",1,747,566
Broxbourne,"91,630",409,391,0,"92,395",379,496,-1,"93,085",349,418,-1,"93,702",383,292,1,"94,595",314,292,0,"95,107",364,254,1,"95,837",412,226,2,"96,311",455,172,3,"96,881",535,319,2,,"96,762",1,448,344
Dacorum,"140,802",770,501,2,"142,205",771,706,0,"143,651",672,659,0,"145,298",737,694,0,"146,728",594,603,0,"148,075",576,514,0,"149,515",700,356,2,"151,069",860,389,3,"152,445",975,521,3,,"153,316",2,799,471
Hertsmere,"97,642",730,468,3,"98,637",693,605,1,"99,402",645,534,1,"100,379",578,603,0,"100,895",486,602,-1,"101,449",418,507,-1,"102,540",682,412,3,"103,157",796,388,4,"103,705",819,460,3,,"104,031",3,729,430
North Hertfordshire,"124,391",517,556,0,"125,269",473,585,-1,"126,286",396,478,-1,"127,494",413,426,0,"128,302",335,620,-2,"129,231",338,445,-1,"130,902",423,316,1,"131,611",455,265,1,"132,655",488,398,1,,"133,321",1,427,352
Three Rivers,"86,205",370,271,1,"87,096",341,301,0,"87,573",304,240,1,"87,921",331,354,0,"88,804",298,466,-2,"89,566",282,315,0,"90,525",337,178,2,"91,797",395,210,2,"92,676",415,273,2,,"92,641",2,365,223
Watford,"84,776","1,169",806,4,"86,472","1,047",916,2,"88,574",934,623,4,"90,653",902,899,0,"91,940",703,822,-1,"93,905",723,600,1,"95,553","1,076",605,5,"96,348","1,181",553,7,"96,577","1,294",817,5,,"96,675",4,"1,096",729
Ashford,"114,556",812,379,4,"115,694",631,426,2,"116,975",505,325,2,"118,405",630,535,1,"120,128",497,427,1,"121,684",473,387,1,"123,159",627,315,3,"124,047",641,287,3,"125,871",689,241,4,,"127,527",2,621,322
Canterbury,"146,073","2,245","1,534",5,"146,396","2,406","2,092",2,"148,653","2,328","1,098",8,"150,600","2,696","1,340",9,"153,223","2,459","1,125",9,"154,941","1,727","1,024",5,"157,044","2,245","1,035",8,"159,663","2,736",890,12,"162,502","2,716",875,11,,"164,100",9,"2,284",887
Dartford,"93,946",596,392,2,"95,266",502,400,1,"96,337",485,245,2,"97,604",469,289,2,"98,851",402,314,1,"100,399",430,285,1,"102,010",514,214,3,"103,531",520,252,3,"105,117",613,273,3,,"107,516",2,526,329
Dover,"109,848",652,470,2,"110,061",561,483,1,"111,072",572,329,2,"111,718",483,365,1,"111,798",492,425,1,"112,490",461,272,2,"113,292",526,284,2,"113,446",462,248,2,"114,572",443,226,2,,"115,803",1,435,291
Gravesham,"99,394",922,339,6,"100,188",825,346,5,"101,076",779,242,5,"101,766",699,264,4,"102,559",570,605,0,"103,383",669,433,2,"104,802",659,338,3,"105,715",732,346,4,"106,215",808,320,5,,"106,121",3,683,373
Maidstone,"149,723","1,339",456,6,"151,594","1,078",504,4,"153,739","1,147",426,5,"155,764","1,024",771,2,"157,368",929,666,2,"159,230",962,676,2,"161,510","1,321",677,4,"164,019","1,457",670,5,"165,719","1,566",689,5,,"167,730",3,"1,345",767
Sevenoaks,"113,298",562,661,-1,"113,754",523,483,0,"114,509",413,324,1,"115,351",435,323,1,"116,306",412,431,0,"116,889",416,377,0,"117,625",510,273,2,"118,165",509,281,2,"119,011",557,229,3,,"119,429",2,490,256
Shepway,"104,782",614,412,2,"105,716",495,424,1,"106,962",490,304,2,"108,199",542,398,1,"108,611",394,302,1,"108,767",310,235,1,"109,324",388,209,2,"109,838",390,219,2,"111,024",395,195,2,,"111,427",2,369,172
Swale,"131,720",821,315,4,"133,030",723,424,2,"134,980",857,346,4,"136,324",643,534,1,"137,794",745,300,3,"139,274",681,281,3,"140,901",784,255,4,"142,465",957,264,5,"144,917",840,246,4,,"146,694",3,819,332
Thanet,"131,750",849,600,2,"132,337",769,594,1,"133,508",865,363,4,"134,402",738,592,1,"135,687",745,500,2,"136,792",692,407,2,"138,526",793,335,3,"139,822",748,325,3,"140,828",744,298,3,,"141,337",2,680,366
Tonbridge and Malling,"116,967",577,245,3,"118,459",558,345,2,"120,054",531,294,2,"121,087",453,508,0,"122,030",415,398,0,"123,171",393,361,0,"124,583",463,248,2,"125,779",489,279,2,"127,305",486,241,2,,"128,891",1,437,294
Tunbridge Wells,"111,251",934,448,4,"112,774",799,450,3,"114,040",703,412,3,"115,246",588,683,-1,"115,796",563,581,0,"116,094",607,509,1,"116,525",761,417,3,"116,610",761,442,3,"117,357",753,382,3,,"118,061",2,695,472
Burnley,"87,328",242,291,-1,"87,027",229,292,-1,"86,902",151,145,0,"87,032",268,237,0,"87,091",186,166,0,"86,829",182,197,0,"87,194",289,211,1,"87,262",262,146,1,"87,496",389,211,2,,"87,705",0,288,268
Chorley,"105,396",393,337,1,"105,682",380,334,0,"106,443",256,219,0,"107,591",390,267,1,"109,075",266,147,1,"110,531",266,157,1,"111,623",221,162,1,"112,963",241,155,1,"114,266",201,158,0,,"115,772",0,212,203
Fylde,"75,230",312,572,-3,"75,441",301,313,0,"75,610",234,210,0,"76,098",276,270,0,"76,073",223,133,1,"76,548",199,168,0,"77,140",218,199,0,"77,490",207,131,1,"78,153",212,153,1,,"78,863",1,196,138
